CPU Name,Manufacturer,Cores,CPU Mark,TDP,MSRP
AMD Ryzen 9 5950X,AMD,16,46142,105,949
AMD Ryzen 9 5900X,AMD,12,39488,105,649
AMD Ryzen 9 3950X,AMD,16,39225,105,877
AMD Ryzen 9 3900X,AMD,12,32896,105,429
AMD Ryzen 7 5800X,AMD,8,28605,105,449
Intel Core i9-11900K,Intel,8,25808,125,570
Intel Core i7-11700K,Intel,8,25263,125,400
Intel Core i9-10900K,Intel,10,23951,125,600
AMD Ryzen 7 3800X,AMD,8,23337,105,306
Intel Core i9-11900,Intel,8,23270,65,425
AMD Ryzen 7 3700X,AMD,8,22803,65,290
AMD Ryzen 5 5600X,AMD,6,22188,65,299
Intel Core i7-11700,Intel,8,20990,95,325
Intel Core i9-10900,Intel,10,20825,65,380
Intel Core i5-11600K,Intel,6,19875,125,260
Intel Core i7-10700K,Intel,8,19499,125,320
Intel Core i5-11600,Intel,6,18465,65,230
AMD Ryzen 5 3600X,AMD,6,18328,95,260
AMD Ryzen 5 3600,AMD,6,17867,65,199
Intel Core i5-11400,Intel,6,17732,65,200
Intel Core i5-11500,Intel,6,17700,65,210
Intel Core i7-10700,Intel,8,17327,65,300
Intel Core i5-10600K,Intel,6,14580,125,200
Intel Core i5-10600,Intel,6,13919,65,230
Intel Core i5-10500,Intel,6,13247,65,210
AMD Ryzen 5 3500X,AMD,6,12885,65,180
AMD Ryzen 3 3300X,AMD,4,12739,65,185
Intel Core i5-10400,Intel,6,12414,65,200
AMD Ryzen 3 3100,AMD,4,11724,65,189
Intel Core i3-10320,Intel,4,10123,65,177.5
Intel Core i3-10300,Intel,4,9344,65,209
Intel Core i3-10100,Intel,4,8844,65,155